#-----------------------------------------------------------
# xsim v2022.2 (64-bit)
# SW Build 3671981 on Fri Oct 14 05:00:03 MDT 2022
# IP Build 3669848 on Fri Oct 14 08:30:02 MDT 2022
# Start of session at: Wed Aug 12 23:37:32 2026
# Process ID: 40688
# Current directory: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1
# Command line: xsim.exe -mode tcl -source {xsim.dir/tb_core_logic_snap/xsim_script.tcl}
# Log file: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1/xsim.log
# Journal file: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1\xsim.jou
# Running On: JH_HP, OS: Windows, CPU Frequency: 1996 MHz, CPU Physical cores: 12, Host memory: 16697 MB
#-----------------------------------------------------------
source xsim.dir/tb_core_logic_snap/xsim_script.tcl
# xsim {tb_core_logic_snap} -autoloadwcfg -tclbatch {run.tcl}
Time resolution is 1 ps
source run.tcl
## log_wave -recursive *
WARNING: [Simtcl 6-197] One or more HDL objects could not be logged because of object type or size limitations.  To see details please rerun the command with -verbose (-v).
## run all
[TB] System Reset...
[TB] Reset Released. Wait for pipeline...
[14735000] SEQ: 134 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[14845000] SEQ: 135 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[14955000] SEQ: 136 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[15065000] SEQ: 137 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[15175000] SEQ: 138 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[15285000] SEQ: 139 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[15395000] SEQ: 140 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[15505000] SEQ: 141 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[15615000] SEQ: 142 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[15725000] SEQ: 143 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[15835000] SEQ: 144 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[15945000] SEQ: 145 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[16055000] SEQ: 146 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[16165000] SEQ: 147 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[16275000] SEQ: 148 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[16385000] SEQ: 149 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[16495000] SEQ: 150 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[16605000] SEQ: 151 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[16715000] SEQ: 152 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[16825000] SEQ: 153 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[16935000] SEQ: 154 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[17045000] SEQ: 155 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[17155000] SEQ: 156 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[17265000] SEQ: 157 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[17375000] SEQ: 158 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[17485000] SEQ: 159 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[17595000] SEQ: 160 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[17705000] SEQ: 161 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[17815000] SEQ: 162 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[17925000] SEQ: 163 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[18035000] SEQ: 164 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[18145000] SEQ: 165 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[18255000] SEQ: 166 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[18365000] SEQ: 167 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[18475000] SEQ: 168 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[18585000] SEQ: 169 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[18695000] SEQ: 170 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[18805000] SEQ: 171 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[18915000] SEQ: 172 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[19025000] SEQ: 173 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[19135000] SEQ: 174 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[19245000] SEQ: 175 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[19355000] SEQ: 176 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[19465000] SEQ: 177 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[19575000] SEQ: 178 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[19685000] SEQ: 179 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[19795000] SEQ: 180 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[19905000] SEQ: 181 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[20015000] SEQ: 182 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[20125000] SEQ: 183 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[20235000] SEQ: 184 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[20345000] SEQ: 185 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[20455000] SEQ: 186 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[20565000] SEQ: 187 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[20675000] SEQ: 188 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[20785000] SEQ: 189 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[20895000] SEQ: 190 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21005000] SEQ: 191 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21115000] SEQ: 192 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21225000] SEQ: 193 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21335000] SEQ: 194 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21445000] SEQ: 195 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21555000] SEQ: 196 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21665000] SEQ: 197 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21775000] SEQ: 198 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21885000] SEQ: 199 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[21995000] SEQ: 200 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[22105000] SEQ: 201 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[22215000] SEQ: 202 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[22325000] SEQ: 203 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[22435000] SEQ: 204 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[22545000] SEQ: 205 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[22655000] SEQ: 206 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[22765000] SEQ: 207 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[22875000] SEQ: 208 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[22985000] SEQ: 209 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[23095000] SEQ: 210 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[23205000] SEQ: 211 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[23315000] SEQ: 212 | Dist_out: 100 | MRM: 0 | TD_remain: 11
