sample_seq,fault_label,reliability_word,active_detectors,invalid_channels,active_control_flags,changed_commands,input_accelerator,output_accelerator,input_brake,output_brake,input_steering_raw,output_steering_raw,input_speed_limit,output_speed_limit,td_remain_sec,invariant_violations
99,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6336,5704,11,
100,none,00155055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6272,5647,11,
101,none,00155055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6208,5589,11,
102,none,00155055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6144,5532,11,
103,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6080,5474,11,
104,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6048,5445,11,
105,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,5984,5387,11,
106,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,5952,5359,11,
107,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,5920,5330,11,
108,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,5888,5301,11,
